transaction_id,transaction_date,hour,amount_usd,category,country,payment_method,card_type,device_type,browser,account_age_days,tx_last_24h,n_items,addr_mismatch,form_fill_time_sec,email_domain,vpn_detected,is_fraud
TXN1006252,2023-03-20 08:59:00,8,86.81,Fashion,FR,credit_card,Visa,desktop,Firefox,477,1,3,1,92,outlook.com,0,0
TXN1004684,2023-12-26 10:14:00,10,1117.3,Travel,FR,digital_wallet,Discover,desktop,Chrome,573,1,4,0,119,hotmail.com,0,0
TXN1001731,2023-04-21 14:37:00,14,496.56,Luxury,UK,debit_card,Visa,tablet,Firefox,674,1,1,0,93,yahoo.com,0,0
TXN1004742,2023-12-21 13:13:00,13,163.55,Fashion,UK,digital_wallet,Mastercard,desktop,Safari,653,4,3,0,47,icloud.com,0,0
TXN1004521,2023-11-15 08:56:00,8,562.2,Travel,US,digital_wallet,Mastercard,desktop,Unknown,305,1,1,0,55,outlook.com,0,0
TXN1006340,2023-07-11 16:52:00,16,133.55,Fashion,BR,credit_card,Amex,mobile,Chrome,1674,2,2,0,138,hotmail.com,1,0
TXN1000576,2023-03-03 13:24:00,13,628.06,Travel,US,credit_card,Mastercard,mobile,Chrome,1264,1,1,1,72,hotmail.com,0,0
TXN1005202,2023-03-07 18:21:00,18,52.92,Software,UK,debit_card,Mastercard,mobile,Safari,44,1,1,0,99,gmail.com,0,0
TXN1006363,2023-10-13 12:24:00,12,44.53,Gaming,US,debit_card,Discover,desktop,Safari,276,4,3,0,155,outlook.com,0,0
TXN1000439,2023-10-16 14:49:00,14,653.12,Electronics,US,credit_card,Mastercard,mobile,Chrome,666,1,3,0,127,hotmail.com,0,0
TXN1002750,2023-06-12 07:03:00,7,24.89,Gaming,BR,credit_card,Mastercard,mobile,Chrome,482,1,2,0,73,gmail.com,0,0
TXN1007487,2023-01-02 11:37:00,11,149.64,Fashion,DE,credit_card,Discover,mobile,Chrome,3216,1,2,0,100,icloud.com,0,0
TXN1005272,2023-12-07 15:26:00,15,63.46,Fashion,RU,credit_card,Mastercard,mobile,Chrome,3650,2,3,0,146,yahoo.com,0,0
TXN1005653,2023-12-27 15:46:00,15,3628.99,Travel,CN,digital_wallet,Amex,desktop,Chrome,315,1,1,0,92,yahoo.com,0,0
TXN1003999,2023-03-14 07:59:00,7,152.12,Travel,RU,credit_card,Visa,desktop,Chrome,208,2,1,0,90,hotmail.com,0,0
TXN1006033,2023-08-16 12:27:00,12,41.16,Software,NG,digital_wallet,Discover,tablet,Chrome,746,3,2,0,147,hotmail.com,0,0
TXN1000582,2023-09-16 22:10:00,22,76.34,Electronics,US,credit_card,Mastercard,mobile,Firefox,394,1,2,0,92,icloud.com,0,0
TXN1009930,2023-04-10 09:05:00,9,260.63,Electronics,BR,digital_wallet,Mastercard,desktop,Safari,1841,2,1,0,12,outlook.com,1,0
TXN1007051,2023-06-29 10:35:00,10,103.78,Gaming,US,credit_card,Discover,mobile,Chrome,1201,2,2,0,187,icloud.com,0,0
TXN1008158,2023-06-15 15:42:00,15,170.22,Travel,US,credit_card,Discover,desktop,Edge,1074,4,1,0,140,outlook.com,0,0
TXN1009896,2023-12-28 20:15:00,20,161.04,Gaming,DE,digital_wallet,Discover,mobile,Chrome,3282,1,2,0,80,icloud.com,0,0
TXN1002249,2023-11-18 15:00:00,15,73.34,Fashion,UK,credit_card,Mastercard,desktop,Chrome,646,1,1,0,124,icloud.com,0,0
TXN1004640,2023-01-10 16:58:00,16,97.29,Software,IN,credit_card,Amex,mobile,Edge,14,1,3,0,120,gmail.com,0,0
TXN1009485,2023-07-30 22:25:00,22,339.79,Travel,DE,digital_wallet,Amex,desktop,Chrome,484,1,4,0,92,outlook.com,0,0
TXN1004947,2023-08-09 09:02:00,9,136.8,Fashion,DE,credit_card,Discover,tablet,Safari,773,1,1,0,150,outlook.com,0,0
TXN1009920,2023-05-01 13:08:00,13,84.39,Electronics,US,credit_card,Discover,mobile,Firefox,136,1,1,0,135,gmail.com,0,0
TXN1001963,2023-11-18 19:49:00,19,40.75,Fashion,BR,credit_card,Amex,mobile,Safari,84,1,1,0,119,gmail.com,0,0
TXN1008243,2023-01-23 15:47:00,15,301.88,Electronics,US,debit_card,Discover,desktop,Chrome,1061,1,1,0,77,yahoo.com,0,0
TXN1006590,2023-12-16 10:51:00,10,84.14,Fashion,US,debit_card,Discover,desktop,Chrome,40,1,1,0,81,yahoo.com,0,0
TXN1008847,2023-04-08 10:54:00,10,109.14,Fashion,US,credit_card,Discover,desktop,Chrome,237,1,1,1,152,icloud.com,0,0
TXN1000321,2023-07-30 06:58:00,6,212.65,Software,NG,prepaid_card,Discover,desktop,Safari,25,7,6,1,2,guerrillamail.com,0,1
TXN1002678,2023-06-27 11:30:00,11,210.26,Travel,US,debit_card,Visa,desktop,Safari,458,1,1,0,24,yahoo.com,0,0
TXN1004625,2023-08-12 15:54:00,15,490.87,Electronics,UK,digital_wallet,Amex,desktop,Chrome,681,1,1,1,103,gmail.com,0,0
TXN1004949,2023-05-20 15:40:00,15,65.87,Gift Cards,CN,credit_card,Visa,mobile,Chrome,1000,1,1,0,133,yahoo.com,0,0
TXN1008328,2023-12-10 14:14:00,14,110.66,Software,FR,credit_card,Discover,mobile,Chrome,266,1,1,0,89,icloud.com,0,0
TXN1003337,2023-09-26 14:57:00,14,546.94,Electronics,IN,credit_card,Visa,desktop,Edge,643,1,2,1,53,yahoo.com,0,0
TXN1005589,2023-03-05 11:06:00,11,81.93,Gaming,FR,debit_card,Amex,desktop,Chrome,190,1,2,0,112,yahoo.com,0,0
TXN1000251,2023-07-13 21:24:00,21,400.13,Luxury,NG,digital_wallet,Visa,mobile,Chrome,125,4,1,1,6,icloud.com,1,1
TXN1003973,2023-06-23 07:51:00,7,65.29,Fashion,US,credit_card,Amex,mobile,Chrome,68,2,2,0,56,yahoo.com,0,0
TXN1006630,2023-11-14 07:35:00,7,103.23,Fashion,DE,credit_card,Amex,mobile,Chrome,28,2,1,0,99,icloud.com,0,0
TXN1005547,2023-06-08 15:54:00,15,376.08,Travel,US,credit_card,Amex,desktop,Chrome,708,1,1,0,107,gmail.com,0,0
TXN1000035,2023-05-16 11:07:00,11,106.57,Electronics,CN,credit_card,Amex,mobile,Safari,4,7,2,0,10,mailinator.com,0,1
